ruta_simulada,total_viajes,tiempo_promedio,distancia_promedio
Duracion_~228hrs_Dist_~3km,2,13711.5,3656.3999999999996
Duracion_~226hrs_Dist_~3km,2,13581.5,3621.7333333333336
Duracion_~257hrs_Dist_~4km,2,15438.0,4116.8
Duracion_~286hrs_Dist_~4km,2,17168.0,4578.133333333333
Duracion_~301hrs_Dist_~4km,2,18091.0,4824.266666666666
Duracion_~385hrs_Dist_~6km,1,23117.0,6164.533333333333
Duracion_~338hrs_Dist_~5km,1,20315.0,5417.333333333333
Duracion_~284hrs_Dist_~4km,1,17058.0,4548.8
Duracion_~283hrs_Dist_~4km,1,17004.0,4534.4
Duracion_~267hrs_Dist_~4km,1,16048.0,4279.466666666666
Duracion_~256hrs_Dist_~4km,1,15384.0,4102.4
Duracion_~245hrs_Dist_~3km,1,14726.0,3926.9333333333334
Duracion_~330hrs_Dist_~5km,1,19800.0,5280.0
Duracion_~276hrs_Dist_~4km,1,16565.0,4417.333333333333
Duracion_~252hrs_Dist_~4km,1,15154.0,4041.0666666666666
Duracion_~248hrs_Dist_~3km,1,14880.0,3968.0
Duracion_~357hrs_Dist_~5km,1,21453.0,5720.8
Duracion_~242hrs_Dist_~3km,1,14522.0,3872.5333333333338
Duracion_~302hrs_Dist_~4km,1,18165.0,4844.0
Duracion_~275hrs_Dist_~4km,1,16552.0,4413.866666666667
Duracion_~290hrs_Dist_~4km,1,17410.0,4642.666666666667
Duracion_~260hrs_Dist_~4km,1,15618.0,4164.8
Duracion_~291hrs_Dist_~4km,1,17500.0,4666.666666666667
Duracion_~303hrs_Dist_~4km,1,18210.0,4856.0
Duracion_~311hrs_Dist_~4km,1,18707.0,4988.533333333334
Duracion_~306hrs_Dist_~4km,1,18417.0,4911.2
Duracion_~316hrs_Dist_~5km,1,18963.0,5056.8
Duracion_~300hrs_Dist_~4km,1,18010.0,4802.666666666667
Duracion_~255hrs_Dist_~4km,1,15308.0,4082.133333333333
Duracion_~321hrs_Dist_~5km,1,19277.0,5140.533333333334
Duracion_~307hrs_Dist_~4km,1,18474.0,4926.4
Duracion_~299hrs_Dist_~4km,1,17969.0,4791.733333333334
