bici,viajes,distancia_total,minutos_totales,eficiencia_km_min
252-9311,4,2863.688888888889,10738.833333333338,0.26666666666666655
808-7835,3,2585.1244444444446,9694.21666666667,0.26666666666666655
811-6121,6,5566.52,20874.45000000001,0.26666666666666655
218-6989,4,3199.275555555556,11997.28333333334,0.26666666666666655
850-3740,7,5596.488888888888,20986.83333333334,0.26666666666666655
350-3471,4,3305.8444444444444,12396.916666666672,0.26666666666666655
875-2081,4,3661.5688888888894,13730.88333333334,0.26666666666666655
365-7848,5,4761.173333333333,17854.40000000001,0.26666666666666655
604-5165,3,2815.791111111111,10559.21666666667,0.26666666666666655
508-1302,9,11493.986666666666,43102.45000000001,0.26666666666666655
532-2987,6,5789.293333333333,21709.85000000001,0.26666666666666655
692-9970,4,3216.2844444444445,12061.066666666671,0.26666666666666655
766-4642,4,3429.8222222222225,12861.83333333334,0.26666666666666655
332-3052,1,200.61777777777775,752.316666666667,0.26666666666666655
757-7059,6,5502.764444444445,20635.36666666668,0.26666666666666655
468-9626,4,3343.5377777777776,12538.26666666667,0.26666666666666655
725-3339,4,2228.604444444444,8357.26666666667,0.26666666666666655
702-6248,8,9049.693333333335,33936.35000000002,0.26666666666666655
879-2442,6,5223.275555555556,19587.283333333344,0.26666666666666655
479-4483,9,11533.96,43252.35000000001,0.26666666666666655
472-1932,8,8147.862222222221,30554.48333333334,0.26666666666666655
386-3818,6,6272.302222222223,23521.133333333342,0.26666666666666655
887-3804,2,319.35555555555555,1197.583333333334,0.26666666666666655
357-1510,3,2375.031111111111,8906.36666666667,0.26666666666666655
808-6027,3,3024.8844444444444,11343.316666666671,0.26666666666666655
636-0689,9,9889.76,37086.60000000001,0.26666666666666655
494-6638,6,5960.782222222221,22352.933333333338,0.26666666666666655
834-4798,6,5091.355555555556,19092.583333333343,0.26666666666666655
771-2557,6,4585.2844444444445,17194.816666666673,0.26666666666666655
837-0967,6,5713.719999999999,21426.450000000008,0.26666666666666655
299-6981,6,5355.44,20082.90000000001,0.26666666666666655
576-0178,4,3300.1555555555556,12375.58333333334,0.26666666666666655
203-3587,6,4901.719999999999,18381.450000000004,0.26666666666666655
261-2539,6,5992.457777777778,22471.716666666678,0.26666666666666655
649-1625,6,5098.1288888888885,19117.98333333334,0.26666666666666655
265-7914,3,5034.444444444443,18879.16666666667,0.26666666666666655
741-7025,9,11012.164444444443,41295.616666666676,0.26666666666666655
809-1951,7,6083.644444444444,22813.666666666675,0.26666666666666655
513-3590,4,3572.0088888888895,13395.03333333334,0.26666666666666655
798-1319,5,3556.293333333333,13336.100000000006,0.26666666666666655
749-4503,6,4593.786666666667,17226.700000000008,0.26666666666666655
422-3889,4,3287.351111111111,12327.566666666671,0.26666666666666655
707-6094,4,3703.4222222222224,13887.833333333341,0.26666666666666655
831-0104,1,24.724444444444444,92.7166666666667,0.26666666666666655
476-6036,6,6324.47111111111,23716.766666666674,0.26666666666666655
611-9762,6,4805.2844444444445,18019.816666666673,0.26666666666666655
843-0712,4,3964.9111111111106,14868.416666666672,0.26666666666666655
655-8316,7,9695.146666666667,36356.80000000002,0.26666666666666655
351-3009,6,5148.47111111111,19306.76666666667,0.26666666666666655
584-2372,4,3660.7155555555555,13727.68333333334,0.26666666666666655
592-1754,1,1238.737777777778,4645.26666666667,0.26666666666666655
397-9952,6,6217.08,23314.05000000001,0.26666666666666655
